,Date,CLOSE_PRICE,VOLUME,SYMBOL
0,2022-11-15,0.2778,216527921,XELA
1,2022-11-11,0.278,147454704,XELA
2,2022-11-04,0.1928,55137037,XELA
3,2022-10-28,0.2435,72876119,XELA
4,2022-10-21,0.2783,49582979,XELA
5,2022-10-14,0.36,72945463,XELA
6,2022-10-07,0.3727,29223534,XELA
7,2022-09-30,0.4531,28351046,XELA
8,2022-09-23,0.49,26599912,XELA
9,2022-09-16,0.7284,29537147,XELA
10,2022-09-09,0.877,17718401,XELA
11,2022-09-02,0.8679,34139740,XELA
12,2022-08-26,1.11,22040314,XELA
13,2022-08-19,1.24,27831456,XELA
14,2022-08-12,1.46,56848775,XELA
15,2022-08-05,1.54,106635651,XELA
16,2022-07-29,1.42,452148804,XELA
17,2022-07-22,0.1528,2922972204,XELA
18,2022-07-15,0.1005,1330878330,XELA
19,2022-07-08,0.107,587873592,XELA
20,2022-07-01,0.1148,694195503,XELA
21,2022-06-24,0.1537,1042872034,XELA
22,2022-06-17,0.1414,312141908,XELA
23,2022-06-10,0.1615,347014468,XELA
24,2022-06-03,0.2125,217915092,XELA
25,2022-05-27,0.22,144254700,XELA
26,2022-05-20,0.2708,72960964,XELA
27,2022-05-13,0.3169,193308709,XELA
28,2022-05-06,0.2881,76203787,XELA
29,2022-04-29,0.3294,123231860,XELA
30,2022-04-22,0.3602,209462342,XELA
31,2022-04-14,0.35,136352400,XELA
32,2022-04-08,0.3593,142135445,XELA
33,2022-04-01,0.4255,253260973,XELA
34,2022-03-25,0.4062,223061281,XELA
35,2022-03-18,0.5025,242601705,XELA
36,2022-03-11,0.573,251099042,XELA
37,2022-03-04,0.6365,68784239,XELA
38,2022-02-25,0.6862,80343639,XELA
39,2022-02-18,0.7861,165587245,XELA
40,2022-02-11,0.6631,223208230,XELA
41,2022-02-04,0.8076,525685996,XELA
42,2022-01-28,0.6294,615625347,XELA
43,2022-01-21,0.3979,101068390,XELA
44,2022-01-14,0.5085,162544045,XELA
45,2022-01-07,0.701,58011193,XELA
46,2021-12-31,0.8774,73239836,XELA
47,2021-12-23,1.07,44617329,XELA
48,2021-12-17,1.08,53667209,XELA
49,2021-12-10,1.24,150990932,XELA
50,2021-12-03,1.09,53738571,XELA
51,2021-11-26,1.39,42269332,XELA
52,2021-11-19,1.37,104059265,XELA
53,2021-11-12,1.63,74581129,XELA
54,2021-11-05,1.775,105319483,XELA
55,2021-10-29,1.88,338963631,XELA
56,2021-10-22,1.5,64778045,XELA
57,2021-10-15,1.7,42545436,XELA
58,2021-10-08,1.65,46619929,XELA
59,2021-10-01,1.9,60513992,XELA
60,2021-09-24,2.0,76675819,XELA
61,2021-09-17,2.05,67311962,XELA
62,2021-09-10,2.22,76481533,XELA
63,2021-09-03,2.59,193646008,XELA
64,2021-08-27,2.42,111106418,XELA
65,2021-08-20,2.25,79757755,XELA
