,Date,CLOSE_PRICE,VOLUME,SYMBOL
0,2022-11-15,98.94,210869389,AMZN
1,2022-11-11,100.79,542000753,AMZN
2,2022-11-04,90.98,654167864,AMZN
3,2022-10-28,103.41,522207349,AMZN
4,2022-10-21,119.32,280043144,AMZN
5,2022-10-14,106.9,299106015,AMZN
6,2022-10-07,114.56,258903688,AMZN
7,2022-09-30,113.0,297031011,AMZN
8,2022-09-23,113.78,273562717,AMZN
9,2022-09-16,123.53,340392641,AMZN
10,2022-09-09,133.27,184935249,AMZN
11,2022-09-02,127.51,264885351,AMZN
12,2022-08-26,130.75,216159531,AMZN
13,2022-08-19,138.23,231518800,AMZN
14,2022-08-12,143.55,240022829,AMZN
15,2022-08-05,140.8,331869002,AMZN
16,2022-07-29,134.95,410016770,AMZN
17,2022-07-22,122.42,303077473,AMZN
18,2022-07-15,113.55,304655044,AMZN
19,2022-07-08,115.54,247235315,AMZN
20,2022-07-01,109.56,374381181,AMZN
21,2022-06-24,116.46,265154294,AMZN
22,2022-06-17,106.22,435976011,AMZN
23,2022-06-10,109.65,438796518,AMZN
24,2022-06-03,2447.0,23516357,AMZN
25,2022-05-27,2302.93,24525745,AMZN
26,2022-05-20,2151.82,22351792,AMZN
27,2022-05-13,2261.1,28448577,AMZN
28,2022-05-06,2295.45,30337433,AMZN
29,2022-04-29,2485.63,29941011,AMZN
30,2022-04-22,2887.0,14882992,AMZN
31,2022-04-14,3034.13,10613940,AMZN
32,2022-04-08,3089.21,14779661,AMZN
33,2022-04-01,3271.2,14961498,AMZN
34,2022-03-25,3295.47,14416524,AMZN
35,2022-03-18,3225.01,20441777,AMZN
36,2022-03-11,2910.49,23260828,AMZN
37,2022-03-04,2912.82,13803602,AMZN
38,2022-02-25,3075.77,14617617,AMZN
39,2022-02-18,3052.03,16027112,AMZN
40,2022-02-11,3065.87,19640945,AMZN
41,2022-02-04,3152.79,35192213,AMZN
42,2022-01-28,2879.56,24718944,AMZN
43,2022-01-21,2852.86,17724960,AMZN
44,2022-01-14,3242.76,14914534,AMZN
45,2022-01-07,3251.08,14873035,AMZN
46,2021-12-31,3334.34,11726577,AMZN
47,2021-12-23,3421.37,10257609,AMZN
48,2021-12-17,3400.35,17028527,AMZN
49,2021-12-10,3444.24,14363798,AMZN
50,2021-12-03,3389.79,18295497,AMZN
51,2021-11-26,3504.56,13859411,AMZN
52,2021-11-19,3676.57,18356801,AMZN
53,2021-11-12,3525.15,16259635,AMZN
54,2021-11-05,3518.99,19891481,AMZN
55,2021-10-29,3372.43,19821332,AMZN
56,2021-10-22,3335.55,12720409,AMZN
57,2021-10-15,3409.02,13570821,AMZN
58,2021-10-08,3288.62,14732534,AMZN
59,2021-10-01,3283.26,16310187,AMZN
60,2021-09-24,3425.52,14357066,AMZN
61,2021-09-17,3462.52,14663610,AMZN
62,2021-09-10,3469.15,10911058,AMZN
63,2021-09-03,3478.05,16682486,AMZN
64,2021-08-27,3349.63,12001408,AMZN
65,2021-08-20,3199.95,16662017,AMZN
66,2021-08-13,3293.97,11866397,AMZN
67,2021-08-06,3344.94,14766350,AMZN
68,2021-07-30,3327.59,24334540,AMZN
69,2021-07-23,3656.64,15060908,AMZN
70,2021-07-16,3573.63,16943118,AMZN
71,2021-07-09,3719.34,21001690,AMZN
72,2021-07-02,3510.98,11958974,AMZN
73,2021-06-25,3401.46,17208549,AMZN
74,2021-06-18,3486.9,19532312,AMZN
75,2021-06-11,3346.83,14381848,AMZN
76,2021-06-04,3206.22,9092611,AMZN
77,2021-05-28,3223.07,12960574,AMZN
78,2021-05-21,3203.08,15970098,AMZN
79,2021-05-14,3222.9,22076693,AMZN
80,2021-05-07,3291.61,24184259,AMZN
81,2021-04-30,3467.42,28031459,AMZN
82,2021-04-23,3340.88,13336845,AMZN
83,2021-04-16,3399.44,16162468,AMZN
84,2021-04-09,3372.2,16372481,AMZN
85,2021-04-01,3161.0,11117785,AMZN
86,2021-03-26,3052.03,16554816,AMZN
87,2021-03-19,3074.96,16858321,AMZN
88,2021-03-12,3089.49,16425808,AMZN
89,2021-03-05,3000.46,20188579,AMZN
90,2021-02-26,3092.93,19795218,AMZN
91,2021-02-19,3249.9,13175313,AMZN
92,2021-02-12,3277.71,13198676,AMZN
93,2021-02-05,3352.15,24724178,AMZN
94,2021-01-29,3206.2,18807935,AMZN
95,2021-01-22,3292.23,16381942,AMZN
96,2021-01-15,3104.25,17723802,AMZN
97,2021-01-08,3182.7,18514101,AMZN
98,2020-12-31,3256.93,16660177,AMZN
99,2020-12-24,3172.69,9764331,AMZN
100,2020-12-18,3201.65,21377156,AMZN
101,2020-12-11,3116.42,16233336,AMZN
102,2020-12-04,3162.58,17492424,AMZN
103,2020-11-27,3195.34,14463046,AMZN
104,2020-11-20,3099.4,16560655,AMZN
105,2020-11-13,3128.81,26282080,AMZN
106,2020-11-06,3311.37,29430886,AMZN
107,2020-10-30,3036.15,30773138,AMZN
108,2020-10-23,3204.4,22004732,AMZN
109,2020-10-16,3272.71,31635612,AMZN
110,2020-10-09,3286.65,21253613,AMZN
111,2020-10-02,3125.0,23208684,AMZN
112,2020-09-25,3095.13,28864000,AMZN
113,2020-09-18,2954.91,28423950,AMZN
114,2020-09-11,3116.22,21707603,AMZN
115,2020-09-04,3294.62,28536635,AMZN
116,2020-08-28,3401.8,22329616,AMZN
117,2020-08-21,3284.72,19115341,AMZN
118,2020-08-14,3148.02,16313326,AMZN
119,2020-08-07,3167.46,21575711,AMZN
120,2020-07-31,3164.68,24482837,AMZN
121,2020-07-24,3008.91,28958005,AMZN
122,2020-07-17,2961.97,31854446,AMZN
123,2020-07-10,3200.0,29050860,AMZN
124,2020-07-02,2890.3,20951198,AMZN
125,2020-06-26,2692.87,21436533,AMZN
126,2020-06-19,2675.01,18693037,AMZN
127,2020-06-12,2545.02,25328869,AMZN
128,2020-06-05,2483.0,14394114,AMZN
129,2020-05-29,2442.37,15347563,AMZN
130,2020-05-22,2436.88,20666695,AMZN
131,2020-05-15,2409.78,19000145,AMZN
132,2020-05-08,2379.61,17833875,AMZN
133,2020-05-01,2286.04,34813900,AMZN
134,2020-04-24,2410.22,26364017,AMZN
135,2020-04-17,2375.0,41638680,AMZN
136,2020-04-09,2042.76,19520094,AMZN
137,2020-04-03,1906.59,23317443,AMZN
138,2020-03-27,1900.1,33057657,AMZN
139,2020-03-20,1846.09,49648484,AMZN
140,2020-03-13,1785.0,40749312,AMZN
141,2020-03-06,1901.09,29090851,AMZN
142,2020-02-28,1883.75,35644283,AMZN
143,2020-02-21,2095.97,13294317,AMZN
144,2020-02-14,2134.87,19774470,AMZN
145,2020-02-07,2079.28,23842907,AMZN
146,2020-01-31,2008.72,30332660,AMZN
